List Price,Bedrooms Total,Bathrooms Total,Living Area,MLS Area Major,Year Built,Lot Size Acres,Days on Market,Non-Representative Compensation,Stories Total,Stories,Bedrooms Total,Bathrooms Total,Bathrooms Full,Bathrooms Half,Garage Spaces,Original List Price,Latitude,Longitude,Time Limit Flag
1695,2,2,1230.0,26,2008,0.01,55,10.0,2.0,2.0,2,2,2,0.0,1.0,1725,30.284261977510592,-81.45485575,0
2700,5,2,2498.0,14,1996,0.46,43,0.0,2.0,2.0,5,2,2,0.0,2.0,2900,30.15671649717058,-81.62957557,0
2500,5,2,1990.0,135,1980,0.27,53,100.0,1.0,1.0,5,2,2,0.0,2.0,2600,30.16041427290207,-81.74471698,0
4425,3,3,2442.0,43,2012,0.1,23,1.0,2.0,2.0,3,3,2,1.0,2.0,4425,30.341040880891875,-81.46164828,0
4500,3,2,1426.0,212,1979,0.14,21,1.0,2.0,2.0,3,2,2,0.0,1.0,4500,30.26615274094001,-81.39881339,0
2750,4,3,2307.0,122,1998,0.14,7,0.0,2.0,2.0,4,3,2,1.0,2.0,2750,30.11310916,-81.72981756,0
2700,4,2,1920.0,139,2009,0.14,48,400.0,2.0,2.0,4,2,1,1.0,2.0,3000,30.16433841683253,-81.8457045,0
2475,4,2,1673.0,481,2004,0.23,94,0.0,1.0,1.0,4,2,2,0.0,2.0,2600,30.615393789572597,-81.57444505,1
6000,4,3,2313.0,26,1999,0.25,36,1.0,2.0,2.0,4,3,3,0.0,2.0,6000,30.27019850397976,-81.43450372,0
2700,4,2,1470.0,25,2021,0.2,0,0.0,1.0,1.0,4,2,2,0.0,2.0,2700,30.318846445508544,-81.45218289,0
2000,3,2,1600.0,601,2022,0.23,2,0.0,1.0,1.0,3,2,2,0.0,2.0,2000,29.575635396233167,-81.23219795,0
1640,3,2,1139.0,67,1991,0.13,15,0.0,1.0,1.0,3,2,2,0.0,2.0,1755,30.19267136285585,-81.76647552,0
1475,2,2,1062.0,41,1984,0.12,35,0.0,1.0,1.0,2,2,2,0.0,1.0,1500,30.36649133151901,-81.56951862,0
2095,3,3,1619.0,22,2006,0.07,138,0.0,2.0,2.0,3,3,2,1.0,1.0,2095,30.299561031864467,-81.56251109,1
1825,1,1,1143.0,11,2007,0.0,8,0.0,20.0,1.0,1,1,1,0.0,1.0,1795,30.313427388936045,-81.66010142,0
1995,4,3,2222.0,91,2004,0.2,21,0.0,2.0,2.0,4,3,2,1.0,2.0,2185,30.42221464901637,-81.72299306,0
1695,3,2,1400.0,63,1986,0.17,7,0.0,1.0,1.0,3,2,2,0.0,2.0,1695,30.229594825745554,-81.77486533,0
2100,4,2,1856.0,81,2023,0.14,5,0.0,1.0,1.0,4,2,2,0.0,2.0,2100,30.38958690268202,-81.84934949,0
2950,3,3,1497.0,304,2006,0.07,112,100.0,2.0,2.0,3,3,2,1.0,1.0,4200,30.05558912461987,-81.50171378,1
1975,3,3,1502.0,304,2022,0.05,75,0.0,2.0,2.0,3,3,2,1.0,1.0,1995,30.05733194768749,-81.48854151,0
6000,2,2,1226.0,261,1985,0.0,130,0.0,2.0,2.0,2,2,2,0.0,1.0,6500,30.213543038242,-81.41473336,1
2000,3,2,1724.0,139,2000,0.22,35,0.0,2.0,1.0,3,2,2,0.0,2.0,2200,30.182176011581745,-81.78731542,0
1595,3,2,1084.0,138,1988,0.12,33,10.0,1.0,1.0,3,2,2,0.0,1.0,1650,30.133416830648216,-81.77517218,0
2150,3,3,1657.0,301,2015,0.06,11,0.0,2.0,2.0,3,3,2,1.0,2.0,2150,30.06899459551175,-81.53808685,0
2300,3,3,1710.0,91,2022,0.12,1,10.0,1.0,1.0,3,3,2,1.0,2.0,2300,30.447022260186245,-81.696742,0
1750,1,1,1143.0,11,2007,0.0,49,0.0,20.0,1.0,1,1,1,0.0,2.0,1875,30.31834211622097,-81.6520693,0
2695,4,2,2097.0,301,1991,0.47,1,10.0,1.0,1.0,4,2,2,0.0,2.0,2695,30.08217220607238,-81.61710885,0
1565,3,3,1496.0,81,2023,0.06,35,0.0,2.0,2.0,3,3,2,1.0,1.0,1800,30.371726799866263,-81.81107157,0
1600,4,2,1350.0,131,1969,0.24,134,0.0,1.0,1.0,4,2,2,0.0,1.0,1850,30.18171678093491,-81.75124651,1
1950,4,2,1572.0,146,1998,0.19,33,10.0,1.0,1.0,4,2,2,0.0,2.0,1950,30.10179674910265,-81.7850647,0
2300,3,3,1751.0,301,2022,0.06,2,0.0,2.0,2.0,3,3,2,1.0,1.0,2300,30.07656590421372,-81.49424501,0
2200,3,3,1526.0,308,2014,0.05,30,0.0,2.0,2.0,3,3,2,1.0,1.0,2200,29.96811707378833,-81.47662411,0
4600,5,5,3355.0,26,1996,0.61,71,2.0,2.0,2.0,5,5,4,1.0,2.0,4800,30.289984402075568,-81.48581665,0
2150,3,2,1802.0,135,1973,0.23,22,1.0,1.0,1.0,3,2,2,0.0,2.0,2100,30.14983390810711,-81.73932148,0
4550,3,4,3390.0,29,2016,0.11,11,0.0,2.0,2.0,3,4,3,1.0,2.0,4550,30.111598863000424,-81.4390461,0
2700,2,2,1348.0,27,2020,0.13,57,0.0,1.0,1.0,2,2,2,0.0,2.0,2700,30.168990322151625,-81.51552115,0
2350,4,3,2165.0,96,2021,0.2,44,400.0,2.0,2.0,4,3,2,1.0,2.0,2400,30.440796599940093,-81.56777519,0
2895,4,4,2458.0,14,2009,0.18,1,0.0,2.0,2.0,4,4,3,1.0,2.0,2895,30.15766961,-81.5338148,0
1450,2,3,1295.0,63,2006,0.08,36,10.0,2.0,2.0,2,3,2,1.0,1.0,1450,30.25375600651777,-81.78025887,0
2800,3,3,1678.0,26,2013,0.08,24,0.0,2.0,2.0,3,3,2,1.0,2.0,2800,30.27639146128008,-81.46168142,0
1895,3,3,1642.0,24,2003,0.1,5,0.0,2.0,2.0,3,3,2,1.0,1.0,1895,30.250340272710847,-81.5224512,0
3500,3,3,1900.0,301,2016,0.14,49,150.0,2.0,2.0,3,3,2,1.0,2.0,4000,30.08446486887365,-81.53864212,0
1750,2,3,1098.0,24,2021,0.06,32,0.0,2.0,2.0,2,3,2,1.0,1.0,1750,30.22760358438593,-81.56375893,0
1750,3,2,1711.0,64,2021,0.17,36,10.0,1.0,1.0,3,2,2,0.0,2.0,1900,30.23546650919176,-81.80150348,0
5000,3,3,2959.0,232,2004,0.08,57,0.0,3.0,3.0,3,3,3,0.0,1.0,5500,30.33239992837227,-81.39499775,0
1965,3,3,1604.0,67,1989,0.2,26,0.0,2.0,2.0,3,3,2,1.0,1.0,2015,30.19507412,-81.75237498,0
1985,3,2,2124.0,81,2022,0.16,0,0.0,1.0,1.0,3,2,2,0.0,2.0,1985,30.40193198,-81.82281175,0
2100,3,3,1660.0,241,2022,0.07,84,0.0,2.0,2.0,3,3,2,1.0,1.0,2300,30.35769820923416,-81.41809845,0
4250,5,5,3868.0,301,2011,0.24,107,0.0,2.0,2.0,5,5,4,1.0,3.0,4700,30.100726215570727,-81.54464865,1
2090,4,2,1456.0,56,2023,0.15,1,0.0,1.0,1.0,4,2,2,0.0,2.0,2090,30.24430163526108,-81.71770923,0
1895,4,2,1740.0,66,2014,0.16,16,0.0,1.0,1.0,4,2,2,0.0,2.0,2100,30.20997673660155,-81.94718701,0
3500,4,3,2670.0,13,2016,0.18,29,100.0,1.0,1.0,4,3,3,0.0,3.0,3500,30.17809626505657,-81.56914064,0
1880,3,2,1711.0,91,2019,0.29,19,0.0,1.0,1.0,3,2,2,0.0,2.0,2085,30.451828644228616,-81.76752674,0
3499,4,3,2496.0,301,2023,0.17,80,0.0,2.0,2.0,4,3,3,0.0,1.0,3499,30.05099605051571,-81.58937162,0
2600,4,3,2144.0,124,2003,0.24,9,0.0,1.0,1.0,4,3,3,0.0,2.0,2600,30.070068517764614,-81.72251578,0
2100,3,2,1417.0,24,1990,0.09,34,0.0,1.0,1.0,3,2,2,0.0,2.0,2200,30.24239117492237,-81.56325147,0
2300,5,3,2507.0,81,2020,0.3,16,0.0,2.0,2.0,5,3,3,0.0,2.0,2500,30.34810229273072,-81.77222003,0
1595,3,2,1344.0,41,1958,0.26,3,500.0,1.0,1.0,3,2,2,0.0,1.0,1495,30.35283348406921,-81.59082465,0
4850,4,3,2804.0,271,2020,0.24,15,0.0,1.0,1.0,4,3,3,0.0,3.0,4850,30.14436941687588,-81.40056269,0
2050,3,2,1255.0,43,1992,0.11,19,0.0,1.0,1.0,3,2,2,0.0,1.0,2300,30.32684986284725,-81.4799533,0
5795,5,4,3321.0,26,2002,0.25,9,500.0,2.0,2.0,5,4,4,0.0,3.0,5795,30.28059081443234,-81.44530541,0
1950,3,2,1558.0,81,2022,0.21,64,10.0,1.0,1.0,3,2,2,0.0,2.0,2100,30.415169805094465,-81.77187485,0
2300,4,2,1840.0,309,2005,0.23,8,0.0,1.0,1.0,4,2,2,0.0,2.0,2300,29.95680246475541,-81.53449445,0
1905,3,3,1398.0,22,1955,0.24,26,0.0,1.0,1.0,3,3,3,0.0,1.0,1955,30.27849392275249,-81.59761203,0
1925,3,2,1908.0,139,2004,0.03,9,0.0,2.0,2.0,3,2,2,0.0,1.0,1925,30.17243801693725,-81.82336141,0
1900,4,2,1910.0,67,2004,0.21,72,20.0,1.0,1.0,4,2,2,0.0,2.0,1995,30.19620842459408,-81.81170671,0
1600,2,3,1202.0,92,2021,0.06,13,0.0,2.0,2.0,2,3,2,1.0,1.0,1600,30.473798022398032,-81.60337543,0
1795,3,3,1419.0,15,2004,0.05,30,10.0,2.0,2.0,3,3,2,1.0,1.0,1850,30.134056721034888,-81.54184935,0
2700,4,3,2027.0,309,2021,0.16,10,0.0,1.0,1.0,4,3,3,0.0,2.0,2700,29.929020805801176,-81.5170946,0
2295,3,2,1799.0,304,2023,0.05,17,0.0,2.0,2.0,3,2,2,0.0,2.0,2295,30.012558514500476,-81.57469827,0
1450,2,3,1295.0,63,2005,0.04,61,0.0,2.0,2.0,2,3,2,1.0,1.0,1450,30.24975705650595,-81.77578705,0
1895,3,3,1492.0,24,2020,0.16,61,0.0,2.0,2.0,3,3,2,1.0,1.0,1950,30.231602615271974,-81.55790061,0
4500,5,5,3336.0,301,2015,0.19,63,0.0,2.0,2.0,5,5,4,1.0,3.0,4000,30.095995480433466,-81.55783107,0
